title,artist
Separate Ways (Worlds Apart) [feat. Lzzy Hale],Daughtry
Unholy,Sam Smith & Kim Petras
Anti-Hero,Taylor Swift
Heart Like A Truck,Lainey Wilson
Son Of A Sinner,Jelly Roll
Temperature,Sean Paul
Made You Look,Meghan Trainor
wait in the truck,HARDY & Lainey Wilson
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Thought You Should Know,Morgan Wallen
Bloody Mary,Lady Gaga
Thank God,Kane Brown & Katelyn Brown
Unstoppable,Sia
I Ain't Worried,OneRepublic
Something in the Orange (Z&E's Version),Zach Bryan
I'm Good (Blue),David Guetta & Bebe Rexha
As It Was,Harry Styles
Ghost,Tom MacDonald
Rock and a Hard Place,Bailey Zimmerman
One Thing At A Time,Morgan Wallen
Players,Coi Leray
No Horse To Ride,Luke Grimes
You Proof,Morgan Wallen
Wasted On You,Morgan Wallen
Calm Down,Rema & Selena Gomez
Mine,Bazzi
Hold My Hand,Lady Gaga
golden hour,JVKE
Cooler Than Me (Single Mix),Mike Posner
I'm Good (Blue),David Guetta & Bebe Rexha
Fall In Love,Bailey Zimmerman
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
The Kind of Love We Make,Luke Combs
Giddy Up!,Shania Twain
Memory Lane,Old Dominion
CUFF IT,Beyoncé
Hold Me Closer,Elton John & Britney Spears
Kill Bill,SZA
Gratitude,Brandon Lake
Under the Influence,Chris Brown
"Going, Going, Gone",Luke Combs
The Summoning,Sleep Token
Tishomingo,Zach Bryan
Just Pretend,Bad Omens
Bebe Dame,Fuerza Regida & Grupo Frontera
Never Been to Spain,Three Dog Night
About Damn Time,Lizzo
Beautiful Liar,MONSTA X
What My World Spins Around,Jordan Davis
Daydream,Lily Meola
Que Vuelvas,Carin Leon & Grupo Frontera
Wreckage,Nate Smith
Watermelon Moonshine,Lainey Wilson
NEED A FAVOR,Jelly Roll
Tennessee Whiskey,Chris Stapleton
Shivers,Ed Sheeran
Die For You,The Weeknd
In the Air Tonight,Phil Collins
Sober,P!nk
Run Away to Mars,TALK
Chasin' You,Morgan Wallen
Holding Out for a Hero,Adam Lambert
Me For Me,Tyler Hubbard
Victoria’s Secret,Jax
How Do I Say Goodbye,Dean Lewis
Yes I Do,French Montana
Something in the Orange,Zach Bryan
Just Wanna Rock,Lil Uzi Vert
Easier Said with Rum,Old Dominion
Cold Heart (PNAU Remix),Elton John & Dua Lipa
I'm a Believer,The Monkees
Forget Me,Lewis Capaldi
Goo Goo Muck,The Cramps
Million Dollar Baby,Ava Max
Hey There Delilah,Plain White T's
'Til You Can't,Cody Johnson
She Had Me At Heads Carolina,Cole Swindell
You Say,Lauren Daigle
Way of the Triune God (Hallelujah Version),Tyler Childers
Until I Found You,Stephen Sanchez
Sunroof,Nicky Youre & Dazy
Tennessee Orange,Megan Moroney
Free Smoke (feat. BIG30),"French Montana, DJ Drama & EST Gee"
Rich Flex,Drake & 21 Savage
Escapism.,RAYE & 070 Shake
Things A Man Oughta Know,Lainey Wilson
New Punani,"French Montana, DJ Drama & Cheeze"
Bones,Imagine Dragons
Handle On You,Parker McCollum
Going Yeezy,"French Montana, DJ Drama & Cheeze"
I'll Be Waiting,Cian Ducrot
Igloo,"French Montana, DJ Drama & Rob49"
Goodness of God (Live),CeCe Winans
The Oath,"Chinx, DJ Drama & French Montana"
He Stopped Loving Her Today,George Jones
CUFF IT,Beyoncé
Bad Habit,Steve Lacy
10:35,Tiësto & Tate McRae
Fenty,French Montana & NAV
